SKU,Category,New.Category,EDC.Available
10279068,A,A,1
10329059,A,A,1
10274258,A,A,1
10267608,A,A,1
10573599,A,A,1
10138369,A,A,1
10064290,A,A,1
10507257,A,A,1
10525063,A,A,1
10546448,A,A,1
10267604,A,A,1
10546735,A,A,1
10375063,A,A,1
10573598,A,A,1
10121467,A,A,1
10308380,A,A,1
10404743,A,A,1
10403386,A,A,1
10556128,A,A,1
10573612,A,A,1
10565154,A,A,0
10358402,A,A,1
10194006,A,A,1
10196947,A,A,1
10379057,A,A,1
10564029,A,A,1
10090004,A,A,1
10103115,A,A,1
10165156,A,A,1
10532215,A,A,1
10522255,A,A,1
10509355,A,A,1
10115868,A,A,1
10573596,A,A,1
10477859,A,A,1
10423129,A,A,1
10573625,A,A,1
10284153,A,A,1
10347284,A,A,1
10500990,A,A,1
10151122,A,A,1
10002360,A,A,1
10353688,A,A,1
10532960,A,A,1
10546846,A,A,1
10556407,A,A,1
10203515,A,A,1
10542591,A,A,1
10366129,A,A,0
10382783,A,A,1
10105274,A,A,1
10500984,A,A,1
10594713,A,A,1
10376637,A,A,1
10014114,A,A,1
10240765,A,A,1
10584498,A,A,1
10138250,A,A,1
10144576,A,A,1
10406884,A,A,1
10540429,A,A,0
10589970,A,A,1
10574232,A,A,1
10546717,A,A,1
10326325,A,A,1
10584500,A,A,1
10358097,A,A,1
10317959,A,A,1
10337070,A,A,1
10228698,A,A,1
10403144,A,A,1
10461276,A,A,1
10429395,A,A,1
10584499,A,A,1
10248699,A,A,1
10192235,A,A,1
10428406,A,A,1
10375833,A,A,1
10065108,A,A,0
10383119,A,A,1
10012257,A,A,1
10545446,A,A,1
10180138,A,A,1
10118653,A,A,1
10403379,A,A,1
10601365,A,A,1
10553658,A,A,1
10304350,A,A,1
10545256,A,A,1
10541448,A,A,1
10226530,A,A,1
10418375,A,A,1
10400723,A,A,1
10267597,A,A,1
10213132,A,A,1
10232774,A,A,0
10503916,A,A,1
10564032,A,A,1
10482073,A,A,1
10507306,A,A,1
10051269,A,A,1
10406594,A,A,1
10595103,A,A,1
10525788,A,A,1
10425710,A,A,1
10504509,A,A,1
10454399,A,A,1
10178097,A,A,1
10242171,A,A,1
10620567,A,A,1
10601367,A,A,1
10146832,A,A,1
10553659,A,A,1
10335747,A,A,1
10176859,A,A,1
10573623,A,A,1
10546486,A,A,1
10423041,A,A,1
10288148,A,A,1
10223337,A,A,1
10196926,A,A,1
10063424,A,A,1
10353845,A,A,1
10217496,A,A,1
10564033,A,A,1
10335742,A,A,1
10333461,A,A,1
10558278,A,A,1
10564035,A,A,1
10243068,A,A,1
10530758,A,A,1
10326302,A,A,1
10041608,A,A,1
10192536,A,A,1
10186476,A,A,1
10384560,A,A,0
10232770,A,A,1
10230625,A,A,1
10672303,A,A,1
10301564,A,A,1
10063437,A,A,1
10177033,A,A,1
10409256,A,A,1
10226538,A,A,1
10377146,A,A,1
10471229,A,A,1
10430095,A,A,1
10114058,A,A,0
10540493,A,A,0
10545248,A,A,1
10063423,A,A,1
10239896,A,A,1
10503918,A,A,1
10341503,A,A,1
10403147,A,A,1
10482413,A,A,1
10044331,A,A,1
10472530,A,A,0
10417336,A,A,1
10063426,A,A,1
10556696,A,A,1
10392955,A,A,1
10507011,A,A,1
10110850,A,A,1
