,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
305,1,G7H,Non-A,239.3405,64,2,CA,G,0.0,G
306,1,G7H,Seasonal,0.0,5,1,CA,G,0.0,G
307,1,G7N,A,0.0,2,1,CA,G,0.0,G
308,1,G7N,Non-A,19.8214,7,1,CA,G,0.0,G
309,1,G7Z,A,129.1131,21,1,CA,G,0.0,G
310,1,G8B,A,19.0293,1,1,CA,G,0.0,G
311,1,G8E,A,12.6836,1,1,CA,G,0.0,G
312,1,G8H,A,41.066,2,1,CA,G,0.0,G
313,1,G8N,A,110.62200000000001,12,1,CA,G,0.0,G
314,1,G8N,Non-A,0.0,6,1,CA,G,0.0,G
315,1,G8P,A,64.518,12,1,CA,G,0.0,G
316,1,G8V,A,31.482,5,1,CA,G,0.0,G
317,1,G8V,Non-A,0.0,2,1,CA,G,0.0,G
318,1,G8W,A,0.0,1,1,CA,G,0.0,G
319,1,G8W,Non-A,43.841,6,1,CA,G,0.0,G
320,1,G9A,A,22.4589,2,2,CA,G,0.0,G
321,1,G9B,A,47.8269,9,1,CA,G,0.0,G
322,1,G9B,Non-A,0.0,1,1,CA,G,0.0,G
323,1,G9N,Non-A,18.7908,7,1,CA,G,0.0,G
324,1,G9P,Non-A,15.6449,1,1,CA,G,0.0,G
325,1,G9T,A,73.7481,12,1,CA,G,0.0,G
326,1,G9T,Non-A,34.7819,11,1,CA,G,0.0,G
327,1,G9X,A,22.9981,10,1,CA,G,0.0,G
328,1,GA,A,135167.82,22837,3070,US,GA,2.0,GA
329,1,GA,Non-A,34563.81,6074,1349,US,GA,2.0,GA
330,1,GA,Seasonal,48151.77,8452,1534,US,GA,2.0,GA
331,1,H1A,A,26.721,9,1,CA,H,0.0,H
332,1,H1A,Non-A,9.2069,4,1,CA,H,0.0,H
333,1,H1E,A,303.3919,36,2,CA,H,0.0,H
334,1,H1H,A,149.1719,23,1,CA,H,0.0,H
335,1,H1H,Non-A,0.0,9,1,CA,H,0.0,H
336,1,H1J,A,26.8825,5,1,CA,H,0.0,H
337,1,H1K,A,36.1125,55,3,CA,H,0.0,H
338,1,H1K,Non-A,88.7391,3,2,CA,H,0.0,H
339,1,H1L,A,0.0,25,1,CA,H,0.0,H
340,1,H1L,Non-A,115.9213,6,1,CA,H,0.0,H
